cluster,blur,noise,contrast,contrast_factor,median_size,total_edits,n_objectives
0,6905.9,0.47,51.9,1.0194370058925168,3,779,8
0,6905.9,0.47,51.9,1.159244095455163,3,785,8
0,6905.9,0.47,51.9,1.0579180943291342,3,783,8
0,6905.9,0.47,51.9,1.0055665203923803,3,794,8
0,6905.9,0.47,51.9,1.6763635021016683,3,793,8
0,6905.9,0.47,51.9,1.2558900461859819,3,733,8
0,6905.9,0.47,51.9,1.2627304278654496,3,754,8
0,6905.9,0.47,51.9,1.3169080076907127,3,759,8
0,6905.9,0.47,51.9,2.173369389388423,3,911,8
0,6905.9,0.47,51.9,2.0654694091142733,3,865,8
0,6905.9,0.47,51.9,2.0400754159412484,3,865,8
0,6905.9,0.47,51.9,2.160897840316356,3,911,8
0,6905.9,0.47,51.9,1.0233225057087103,3,773,8
0,6905.9,0.47,51.9,1.8229058997749115,3,790,8
0,6905.9,0.47,51.9,2.160555826572947,3,894,8
0,6905.9,0.47,51.9,1.009380710936204,3,789,8
0,6905.9,0.47,51.9,1.1016802469157014,3,766,8
0,6905.9,0.47,51.9,1.3329930339768163,3,762,8
0,6905.9,0.47,51.9,1.1016802469157014,3,766,8
0,6905.9,0.47,51.9,1.4651858960305766,3,769,8
0,6905.9,0.47,51.9,1.8760428698698357,3,830,8
0,6905.9,0.47,51.9,1.3367816486631006,3,759,8
0,6905.9,0.47,51.9,2.0400754159412484,3,865,8
0,6905.9,0.47,51.9,2.0654694091142733,3,865,8
0,6905.9,0.47,51.9,1.6692103118402848,3,778,8
0,6905.9,0.47,51.9,1.0055665203923803,3,794,8
0,6905.9,0.47,51.9,1.4769737200266877,3,764,8
0,6905.9,0.47,51.9,1.0287948800813282,3,783,8
0,6905.9,0.47,51.9,1.2558900461859819,3,733,8
0,6905.9,0.47,51.9,1.6973095508858342,3,793,8
1,1436.7,1.01,32.8,2.0593944121763688,3,1740,8
1,1436.7,1.01,32.8,1.2883062117383395,3,1612,8
1,1436.7,1.01,32.8,1.9771683747029152,3,1649,8
1,1436.7,1.01,32.8,1.811403950345634,3,1644,8
1,1436.7,1.01,32.8,1.8984388473995402,3,1636,8
1,1436.7,1.01,32.8,1.893990760443923,3,1642,8
1,1436.7,1.01,32.8,1.8929657293759539,3,1636,8
1,1436.7,1.01,32.8,1.811443027957884,3,1644,8
1,1436.7,1.01,32.8,1.2869858890858004,3,1591,8
1,1436.7,1.01,32.8,1.8787382888631334,3,1593,8
1,1436.7,1.01,32.8,1.3679787013399751,3,1581,8
1,1436.7,1.01,32.8,1.9563953138978718,3,1698,8
1,1436.7,1.01,32.8,1.9904516284006855,3,1640,8
1,1436.7,1.01,32.8,1.3083534944109354,3,1583,8
1,1436.7,1.01,32.8,1.252996278292203,3,1580,8
1,1436.7,1.01,32.8,2.0596406253371558,3,1744,8
1,1436.7,1.01,32.8,2.0504591826086145,3,1757,8
1,1436.7,1.01,32.8,1.252996278292203,3,1580,8
1,1436.7,1.01,32.8,2.0331879192039755,3,1672,8
1,1436.7,1.01,32.8,1.4890241027554851,3,1604,8
1,1436.7,1.01,32.8,1.3313382362417463,3,1568,8
1,1436.7,1.01,32.8,1.2096795804903677,3,1563,8
1,1436.7,1.01,32.8,1.2552924868861752,3,1584,8
1,1436.7,1.01,32.8,1.2745821086788993,3,1617,8
1,1436.7,1.01,32.8,2.0593944121763688,3,1740,8
1,1436.7,1.01,32.8,1.9765984464800697,3,1645,8
1,1436.7,1.01,32.8,1.2469573408560324,3,1574,8
1,1436.7,1.01,32.8,1.8759879984527386,3,1651,8
1,1436.7,1.01,32.8,1.0496885066663735,3,1559,8
1,1436.7,1.01,32.8,1.328161920751487,3,1601,8
